candidate_id,offer_salary,position
UV100,15000000,Data Analyst
UV101,20000000.0,Data Analyst
UV102,25000000,Data Analyst
UV103,15000000,Python Developer
UV104,15000000,Data Analyst
UV105,,Python Developer
UV106,25000000,Dev
UV107,15000000,Python Dev
UV108,20000000,Python Developer
UV109,25000000,Data Analyst
UV110,15000000,Data Analyst
UV111,20000000.0,Data Analyst
UV112,20000000,Python Dev
UV113,,Dev
UV114,,Data Analyst
UV115,20000000.0,Data Analyst
UV116,20000000,Data Analyst
UV117,15000000,Python Dev
UV118,,Python Developer
UV119,25000000,Data Analyst
UV120,15000000,Data Analyst
UV121,15000000,Python Dev
UV122,15000000,Data Analyst
UV123,,Python Dev
UV124,20000000,Data Analyst
