candidate_id,round,score
UV100,1,9
UV100,2,
UV100,3,
 uv101,1,9
 uv101,2,7
 uv101,3,7
UV102,1,
UV102,2,5
UV102,3,
 uv103,1, 6 
 uv103,2,8p
 uv103,3, 6 
UV104,1,5
UV104,2,7
UV104,3, 6 
UV105 ,1,9
UV105 ,2, 6 
UV105 ,3,7
UV106,1,
UV106,2, 6 
UV106,3,5
UV107,1,8p
UV107,2,7
UV107,3,9
UV108,1,
UV108,2,5
UV108,3,7
UV109,1,9
UV109,2,9
UV109,3,7
UV110,1,
UV110,2,5
UV110,3,
 uv111,1,
 uv111,2,
 uv111,3,
UV112 ,1,9
UV112 ,2,8p
UV112 ,3,5
UV113,1,9
UV113,2,7
UV113,3,7
UV114,1,
UV114,2,5
UV114,3,9
 uv115,1,9
 uv115,2,5
 uv115,3,
UV116 ,1,5
UV116 ,2,5
UV116 ,3,8p
UV117,1,8p
UV117,2,
UV117,3,8p
UV118 ,1,7
UV118 ,2,8p
UV118 ,3,8p
 uv119,1,8p
 uv119,2,9
 uv119,3, 6 
 uv120,1,8p
 uv120,2,5
 uv120,3,8p
UV121 ,1, 6 
UV121 ,2,
UV121 ,3,
 uv122,1,7
 uv122,2,7
 uv122,3,8p
UV123 ,1,5
UV123 ,2,5
UV123 ,3,9
 uv124,1,5
 uv124,2,9
 uv124,3,9
