candidate_id,offer_salary,position
UV100,15000000,Data Analyst
 uv101,20tr,data analyst 
UV102, 25000000 ,data analyst 
 uv103,15000000, python developer 
UV104,15000000,DAta  ANalyst
UV105 ,, python developer 
UV106, 25000000 ,Dev 
UV107,15000000,Python Dev
UV108,20000000, python developer 
UV109, 25000000 ,data analyst 
UV110,15000000,Data Analyst
 uv111,20tr,data analyst 
UV112 ,20000000,Python Dev
UV113,,Dev 
UV114,,DAta  ANalyst
 uv115,20tr,DAta  ANalyst
UV116 ,20000000,Data Analyst
UV117,15000000,Python Dev
UV118 ,, python developer 
 uv119, 25000000 ,data analyst 
 uv120,15000000,DAta  ANalyst
UV121 ,15000000,Python Dev
 uv122,15000000,DAta  ANalyst
UV123 ,,Python Dev
 uv124,20000000,Data Analyst
